Displacement_mm,BaseShear_kN
0.000000000000000000e+00,-4.055537013663775003e-02
-2.500000000000000000e-01,-1.444512336602813818e+01
-5.000000000000000000e-01,-2.884930189535034728e+01
-7.500000000000000000e-01,-4.325278902561256444e+01
-1.000000000000000000e+00,-5.765488865787280304e+01
-1.250000000000000000e+00,-7.205582014496859244e+01
-1.500000000000000000e+00,-8.645568554830776975e+01
-1.750000000000000000e+00,-1.008545670913401011e+02
-2.000000000000000000e+00,-1.152544279790309361e+02
-2.250000000000000000e+00,-1.296524054533643380e+02
-2.500000000000000000e+00,-1.440525040922518940e+02
-2.750000000000000000e+00,-1.584507409454118658e+02
-3.000000000000000000e+00,-1.728487995454694612e+02
-3.250000000000000000e+00,-1.872478673598999137e+02
-3.500000000000000000e+00,-2.016443875257024558e+02
-3.750000000000000000e+00,-2.160389473319107765e+02
-4.000000000000000000e+00,-2.304326980887122431e+02
-3.750000000000000000e+00,-2.160312772128804113e+02
-3.500000000000000000e+00,-2.016289123374154997e+02
-3.250000000000000000e+00,-1.872255625854483014e+02
-3.000000000000000000e+00,-1.728214046701000086e+02
-2.750000000000000000e+00,-1.584167649375037570e+02
-2.500000000000000000e+00,-1.440118761395194440e+02
-2.250000000000000000e+00,-1.296068079808765390e+02
-2.000000000000000000e+00,-1.152017531701305586e+02
-1.750000000000000000e+00,-1.007966964868967352e+02
-1.500000000000000000e+00,-8.639204260435190008e+01
-1.250000000000000000e+00,-7.198745573167744283e+01
-1.000000000000000000e+00,-5.758301228703910368e+01
-7.500000000000000000e-01,-4.317888922816148067e+01
-5.000000000000000000e-01,-2.877441595305250743e+01
-2.500000000000000000e-01,-1.436974360415966245e+01
0.000000000000000000e+00,3.483769635721978286e-02
2.500000000000000000e-01,1.443893961219943378e+01
5.000000000000000000e-01,2.884308506408547501e+01
7.500000000000000000e-01,4.324630686113145828e+01
1.000000000000000000e+00,5.764890414980254008e+01
1.250000000000000000e+00,7.205095645791048753e+01
1.500000000000000000e+00,8.645054364305322281e+01
1.750000000000000000e+00,1.008511438505876612e+02
2.000000000000000000e+00,1.152509145783621847e+02
2.250000000000000000e+00,1.296500466466087005e+02
2.500000000000000000e+00,1.440498062166203681e+02
2.750000000000000000e+00,1.584466365462474471e+02
3.000000000000000000e+00,1.728450587299751646e+02
3.250000000000000000e+00,1.872446959964220810e+02
3.500000000000000000e+00,2.016403321742970149e+02
3.750000000000000000e+00,2.160349081994467895e+02
4.000000000000000000e+00,2.304259811036035046e+02
3.750000000000000000e+00,2.160248039059550536e+02
3.500000000000000000e+00,2.016223383160479159e+02
3.250000000000000000e+00,1.872191160439818418e+02
3.000000000000000000e+00,1.728150756812861175e+02
2.750000000000000000e+00,1.584106172174833205e+02
2.500000000000000000e+00,1.440059899305520617e+02
2.250000000000000000e+00,1.296011012442618267e+02
2.000000000000000000e+00,1.151962669122305982e+02
1.750000000000000000e+00,1.007914288649015333e+02
1.500000000000000000e+00,8.638668906101028711e+01
1.250000000000000000e+00,7.198216274442137319e+01
1.000000000000000000e+00,5.757756476582067506e+01
7.500000000000000000e-01,4.317304746233065771e+01
5.000000000000000000e-01,2.876863381686461452e+01
2.500000000000000000e-01,1.436401092206315688e+01
0.000000000000000000e+00,-4.038878264875802454e-02
-2.500000000000000000e-01,-1.444495668427219570e+01
-5.000000000000000000e-01,-2.884913511889166671e+01
-7.500000000000000000e-01,-4.325262218256925451e+01
-1.000000000000000000e+00,-5.765472172271482521e+01
-1.250000000000000000e+00,-7.205565308047576423e+01
-1.500000000000000000e+00,-8.645551854629158584e+01
-1.750000000000000000e+00,-1.008544000037946233e+02
-2.000000000000000000e+00,-1.152542606651114170e+02
-2.250000000000000000e+00,-1.296522378848346762e+02
-2.500000000000000000e+00,-1.440523364331601783e+02
-2.750000000000000000e+00,-1.584505734471744347e+02
-3.000000000000000000e+00,-1.728486318872963352e+02
-3.250000000000000000e+00,-1.872476995750711524e+02
-3.500000000000000000e+00,-2.016442196479866880e+02
-3.750000000000000000e+00,-2.160387793988394947e+02
-4.000000000000000000e+00,-2.304327005869883180e+02
-3.750000000000000000e+00,-2.160312797481539064e+02
-3.500000000000000000e+00,-2.016289148716410580e+02
-3.250000000000000000e+00,-1.872255651173291824e+02
-3.000000000000000000e+00,-1.728214072026792110e+02
-2.750000000000000000e+00,-1.584167674744831800e+02
-2.500000000000000000e+00,-1.440118786734016112e+02
-2.250000000000000000e+00,-1.296068105190481106e+02
-2.000000000000000000e+00,-1.152017557063593500e+02
-1.750000000000000000e+00,-1.007966990274319983e+02
-1.500000000000000000e+00,-8.639204514371314758e+01
-1.250000000000000000e+00,-7.198745827364658112e+01
-1.000000000000000000e+00,-5.758301483039205237e+01
-7.500000000000000000e-01,-4.317889177347273488e+01
-5.000000000000000000e-01,-2.877441850036094806e+01
-2.500000000000000000e-01,-1.436974615334715821e+01
0.000000000000000000e+00,3.483514542715988871e-02
2.500000000000000000e-01,1.443893705918652159e+01
5.000000000000000000e-01,2.884308250911858451e+01
7.500000000000000000e-01,4.324630430379294665e+01
1.000000000000000000e+00,5.764890159051224572e+01
1.250000000000000000e+00,7.205095390705044167e+01
1.500000000000000000e+00,8.645054105017669599e+01
1.750000000000000000e+00,1.008511412854416704e+02
2.000000000000000000e+00,1.152509120185104337e+02
2.250000000000000000e+00,1.296500440929107469e+02
2.500000000000000000e+00,1.440498036448830703e+02
2.750000000000000000e+00,1.584466339735203348e+02
3.000000000000000000e+00,1.728450561541249044e+02
3.250000000000000000e+00,1.872446934174993771e+02
3.500000000000000000e+00,2.016403295962091136e+02
3.750000000000000000e+00,2.160349056173647000e+02
4.000000000000000000e+00,2.304259811506029791e+02
4.250000000000000000e+00,2.446306476529373128e+02
4.500000000000000000e+00,2.588283383635405244e+02
4.750000000000000000e+00,2.730185433679344555e+02
5.000000000000000000e+00,2.871986625964222526e+02
5.250000000000000000e+00,3.013653332886839280e+02
5.500000000000000000e+00,3.155186762873602220e+02
5.750000000000000000e+00,3.296581537206719759e+02
6.000000000000000000e+00,3.437801617747005594e+02
6.250000000000000000e+00,3.578822536428825174e+02
6.500000000000000000e+00,3.719634093158165342e+02
6.750000000000000000e+00,3.860206276400394927e+02
7.000000000000000000e+00,4.000515220179090079e+02
7.250000000000000000e+00,4.140518799350548420e+02
7.500000000000000000e+00,4.280201017125706358e+02
7.750000000000000000e+00,4.419596227233253671e+02
8.000000000000000000e+00,4.558687937035311393e+02
7.750000000000000000e+00,4.415699379230943578e+02
7.500000000000000000e+00,4.272640899449228868e+02
7.250000000000000000e+00,4.129492290426179579e+02
7.000000000000000000e+00,3.986262126689945262e+02
6.750000000000000000e+00,3.842937039630421054e+02
6.500000000000000000e+00,3.699543992351952397e+02
6.250000000000000000e+00,3.556079361168511923e+02
6.000000000000000000e+00,3.412557147750436570e+02
5.750000000000000000e+00,3.268982670545676115e+02
5.500000000000000000e+00,3.125363677219808096e+02
5.250000000000000000e+00,2.981703663806185887e+02
5.000000000000000000e+00,2.837998491074173444e+02
4.750000000000000000e+00,2.694260910060689298e+02
4.500000000000000000e+00,2.550489345686295053e+02
4.250000000000000000e+00,2.406693437425738580e+02
4.000000000000000000e+00,2.262880958137367600e+02
3.750000000000000000e+00,2.119044535191304419e+02
3.500000000000000000e+00,1.975198648485538797e+02
3.250000000000000000e+00,1.831340258042186804e+02
3.000000000000000000e+00,1.687486400704904668e+02
2.750000000000000000e+00,1.543637649417182729e+02
2.500000000000000000e+00,1.399780569506336292e+02
2.250000000000000000e+00,1.255935437866515940e+02
2.000000000000000000e+00,1.112102208639318093e+02
1.750000000000000000e+00,9.682717229282029336e+01
1.500000000000000000e+00,8.244550346157535614e+01
1.250000000000000000e+00,6.806312114781420064e+01
1.000000000000000000e+00,5.368024075834052411e+01
7.500000000000000000e-01,3.929790135563293063e+01
5.000000000000000000e-01,2.491286831279764158e+01
2.500000000000000000e-01,1.052729730332905689e+01
0.000000000000000000e+00,-3.858407326060624865e+00
-2.500000000000000000e-01,-1.824261756771750598e+01
-5.000000000000000000e-01,-3.262389806443445650e+01
-7.500000000000000000e-01,-4.699766445703844653e+01
-1.000000000000000000e+00,-6.136877067481361792e+01
-1.250000000000000000e+00,-7.573708628921778541e+01
-1.500000000000000000e+00,-9.009914324088344983e+01
-1.750000000000000000e+00,-1.044671429171364991e+02
-2.000000000000000000e+00,-1.188329044716435590e+02
-2.250000000000000000e+00,-1.332059414806717541e+02
-2.500000000000000000e+00,-1.475801139220315008e+02
-2.750000000000000000e+00,-1.619517943671238243e+02
-3.000000000000000000e+00,-1.763302024220653834e+02
-3.250000000000000000e+00,-1.907078739463638328e+02
-3.500000000000000000e+00,-2.050805164747725087e+02
-3.750000000000000000e+00,-2.194564546141370158e+02
-4.000000000000000000e+00,-2.338019840146489798e+02
-4.250000000000000000e+00,-2.479937691436279295e+02
-4.500000000000000000e+00,-2.621769507796009862e+02
-4.750000000000000000e+00,-2.763490786902767695e+02
-5.000000000000000000e+00,-2.905100823418324580e+02
-5.250000000000000000e+00,-3.046585859496768762e+02
