Displacement_mm,BaseShear_kN
-1.500000000000000000e+00,-8.769367629868848724e+01
-1.750000000000000000e+00,-1.023069701525570991e+02
-2.000000000000000000e+00,-1.169204464016491016e+02
-1.750000000000000000e+00,-1.023049632090941685e+02
-1.500000000000000000e+00,-8.768957832619298642e+01
-1.250000000000000000e+00,-7.307432284635200403e+01
-1.000000000000000000e+00,-5.845916805830727725e+01
-7.500000000000000000e-01,-4.384409905225847126e+01
-5.000000000000000000e-01,-2.922908608096003391e+01
-2.500000000000000000e-01,-1.461409525310395274e+01
0.000000000000000000e+00,9.057987984893997938e-04
2.500000000000000000e-01,1.461583239054786532e+01
5.000000000000000000e-01,2.923075169308069832e+01
7.500000000000000000e-01,4.384541808419798770e+01
1.000000000000000000e+00,5.845998176355720943e+01
1.250000000000000000e+00,7.307424326537430659e+01
1.500000000000000000e+00,8.768789659599293884e+01
1.750000000000000000e+00,1.023018278106257242e+02
2.000000000000000000e+00,1.169151817200025647e+02
2.250000000000000000e+00,1.313814183030106619e+02
2.500000000000000000e+00,1.458425670253170097e+02
2.750000000000000000e+00,1.602987745072630332e+02
3.000000000000000000e+00,1.747501122516135865e+02
3.250000000000000000e+00,1.891966574945788011e+02
3.500000000000000000e+00,2.036367591468251419e+02
3.750000000000000000e+00,2.180708021418555802e+02
4.000000000000000000e+00,2.324992777312148746e+02
3.750000000000000000e+00,2.178858577589298591e+02
3.500000000000000000e+00,2.032713557751713438e+02
3.250000000000000000e+00,1.886567126396788581e+02
3.000000000000000000e+00,1.740418729667107982e+02
2.750000000000000000e+00,1.594268686123844532e+02
2.500000000000000000e+00,1.448119897191420478e+02
2.250000000000000000e+00,1.301972345804694555e+02
2.000000000000000000e+00,1.155826374847058275e+02
1.750000000000000000e+00,1.009682983026961836e+02
1.500000000000000000e+00,8.635409709407075241e+01
1.250000000000000000e+00,7.174022719507635770e+01
1.000000000000000000e+00,5.712622400003924383e+01
7.500000000000000000e-01,4.251244561475674999e+01
5.000000000000000000e-01,2.789882073986546374e+01
2.500000000000000000e-01,1.328474790887578116e+01
0.000000000000000000e+00,-1.329152170529126931e+00
-2.500000000000000000e-01,-1.594317789043233269e+01
-5.000000000000000000e-01,-3.055632386615506846e+01
-7.500000000000000000e-01,-4.516866252368167522e+01
-1.000000000000000000e+00,-5.977925234761351447e+01
-1.250000000000000000e+00,-7.438945144881441252e+01
-1.500000000000000000e+00,-8.899749015892358273e+01
-1.750000000000000000e+00,-1.036067112373292503e+02
-2.000000000000000000e+00,-1.182063043360908381e+02
-2.250000000000000000e+00,-1.326692488698751617e+02
-2.500000000000000000e+00,-1.471286544012632476e+02
-2.750000000000000000e+00,-1.615801660829336868e+02
-3.000000000000000000e+00,-1.760301105605934708e+02
-3.250000000000000000e+00,-1.904731005311766125e+02
-3.500000000000000000e+00,-2.049105067509074445e+02
-3.750000000000000000e+00,-2.193410739839409302e+02
-4.000000000000000000e+00,-2.337670160444181988e+02
-3.750000000000000000e+00,-2.191532159767555754e+02
-3.500000000000000000e+00,-2.045387365321599589e+02
-3.250000000000000000e+00,-1.899241666599340874e+02
-3.000000000000000000e+00,-1.753095310312203310e+02
-2.750000000000000000e+00,-1.606948559361252649e+02
-2.500000000000000000e+00,-1.460804047798120564e+02
-2.250000000000000000e+00,-1.314661617900250405e+02
-2.000000000000000000e+00,-1.168521974751421624e+02
-1.750000000000000000e+00,-1.022386303449283673e+02
-1.500000000000000000e+00,-8.762549022945270849e+01
-1.250000000000000000e+00,-7.301267080869691029e+01
-1.000000000000000000e+00,-5.840031395100581335e+01
-7.500000000000000000e-01,-4.378816364377254899e+01
-5.000000000000000000e-01,-2.917602262691519499e+01
-2.500000000000000000e-01,-1.456355263462817895e+01
0.000000000000000000e+00,4.897227545903001800e-02
2.500000000000000000e-01,1.466104682154814398e+01
5.000000000000000000e-01,2.927319482885355129e+01
7.500000000000000000e-01,4.388378924354048394e+01
1.000000000000000000e+00,5.849451350253620063e+01
1.250000000000000000e+00,7.310386889158534984e+01
1.500000000000000000e+00,8.771130435658955093e+01
1.750000000000000000e+00,1.023200241963219383e+02
2.000000000000000000e+00,1.169268723714325091e+02
2.250000000000000000e+00,1.315349796578079804e+02
2.500000000000000000e+00,1.461414338130215924e+02
2.750000000000000000e+00,1.607486368936009455e+02
3.000000000000000000e+00,1.753575072116735498e+02
3.250000000000000000e+00,1.899644731019856181e+02
3.500000000000000000e+00,2.045697101071718578e+02
3.750000000000000000e+00,2.191736017987742002e+02
4.000000000000000000e+00,2.337679528344398818e+02
3.750000000000000000e+00,2.191545103403848316e+02
3.500000000000000000e+00,2.045401083449321220e+02
3.250000000000000000e+00,1.899256890123518815e+02
3.000000000000000000e+00,1.753111687822520253e+02
2.750000000000000000e+00,1.606965476750360722e+02
2.500000000000000000e+00,1.460821289948174808e+02
2.250000000000000000e+00,1.314679601720408471e+02
2.000000000000000000e+00,1.168540311597082280e+02
1.750000000000000000e+00,1.022404472234790944e+02
1.500000000000000000e+00,8.762714485878844073e+01
1.250000000000000000e+00,7.301430309982188760e+01
1.000000000000000000e+00,5.840143292253571872e+01
7.500000000000000000e-01,4.378885734017077169e+01
5.000000000000000000e-01,2.917646368025052794e+01
2.500000000000000000e-01,1.456377005287553317e+01
0.000000000000000000e+00,-4.880245756554404263e-02
-2.500000000000000000e-01,-1.466142035266120125e+01
-5.000000000000000000e-01,-2.927323128358793269e+01
-7.500000000000000000e-01,-4.388429638914132624e+01
-1.000000000000000000e+00,-5.849334383816425742e+01
-1.250000000000000000e+00,-7.310219663065835505e+01
-1.500000000000000000e+00,-8.770894553105409841e+01
-1.750000000000000000e+00,-1.023160680496020660e+02
-2.000000000000000000e+00,-1.169224421544830363e+02
-2.250000000000000000e+00,-1.315297691386997485e+02
-2.500000000000000000e+00,-1.461387042265694163e+02
-2.750000000000000000e+00,-1.607445836010959965e+02
-3.000000000000000000e+00,-1.753536350546625897e+02
-3.250000000000000000e+00,-1.899608157130375616e+02
-3.500000000000000000e+00,-2.045670965129823173e+02
-3.750000000000000000e+00,-2.191717661861605393e+02
-4.000000000000000000e+00,-2.337766821837816735e+02
-3.750000000000000000e+00,-2.191628823888712532e+02
-3.500000000000000000e+00,-2.045484037904884076e+02
-3.250000000000000000e+00,-1.899338356381857409e+02
-3.000000000000000000e+00,-1.753192031837358797e+02
-2.750000000000000000e+00,-1.607045310230664086e+02
-2.500000000000000000e+00,-1.460900835845542929e+02
-2.250000000000000000e+00,-1.314758453978909358e+02
-2.000000000000000000e+00,-1.168618865306333134e+02
-1.750000000000000000e+00,-1.022483258611947008e+02
-1.500000000000000000e+00,-8.763519340750461595e+01
-1.250000000000000000e+00,-7.302238270475513104e+01
-1.000000000000000000e+00,-5.841003570308919279e+01
-7.500000000000000000e-01,-4.379789608576466975e+01
-5.000000000000000000e-01,-2.918576637026494680e+01
-2.500000000000000000e-01,-1.457330854256709607e+01
0.000000000000000000e+00,3.920440091390287041e-02
2.500000000000000000e-01,1.465126524357138216e+01
5.000000000000000000e-01,2.926340082478451521e+01
7.500000000000000000e-01,4.387398347436867141e+01
1.000000000000000000e+00,5.848469502999709846e+01
1.250000000000000000e+00,7.309403880283605304e+01
1.500000000000000000e+00,8.770145910557396007e+01
1.750000000000000000e+00,1.023101683323169766e+02
2.000000000000000000e+00,1.169170015736216612e+02
2.250000000000000000e+00,1.315250944959273340e+02
2.500000000000000000e+00,1.461315375334824012e+02
2.750000000000000000e+00,1.607387277778523185e+02
3.000000000000000000e+00,1.753475816961815497e+02
3.250000000000000000e+00,1.899545358210361314e+02
3.500000000000000000e+00,2.045597672410874850e+02
3.750000000000000000e+00,2.191636668968168919e+02
4.000000000000000000e+00,2.337681085983181504e+02
3.750000000000000000e+00,2.191546660701363862e+02
3.500000000000000000e+00,2.045402640783968593e+02
3.250000000000000000e+00,1.899258447623060988e+02
3.000000000000000000e+00,1.753113245490323209e+02
2.750000000000000000e+00,1.606967034838632458e+02
2.500000000000000000e+00,1.460822848387955446e+02
2.250000000000000000e+00,1.314681160680061680e+02
2.000000000000000000e+00,1.168541871058738479e+02
1.750000000000000000e+00,1.022406032262142475e+02
1.500000000000000000e+00,8.762730093889025795e+01
1.250000000000000000e+00,7.301445925097148404e+01
1.000000000000000000e+00,5.840158914863077655e+01
7.500000000000000000e-01,4.378901364005779584e+01
5.000000000000000000e-01,2.917662006789309359e+01
2.500000000000000000e-01,1.456392652751951644e+01
0.000000000000000000e+00,-4.864589997361429274e-02
-2.500000000000000000e-01,-1.466126369816014119e+01
-5.000000000000000000e-01,-2.927307456166872868e+01
-7.500000000000000000e-01,-4.388413958224426636e+01
-1.000000000000000000e+00,-5.849318694067503088e+01
-1.250000000000000000e+00,-7.310203968842350264e+01
-1.500000000000000000e+00,-8.770878851744657823e+01
-1.750000000000000000e+00,-1.023159108594932576e+02
-2.000000000000000000e+00,-1.169222848926085874e+02
-2.250000000000000000e+00,-1.315296117496491490e+02
-2.500000000000000000e+00,-1.461385467631656638e+02
-2.750000000000000000e+00,-1.607444260790670398e+02
-3.000000000000000000e+00,-1.753534774276724875e+02
-3.250000000000000000e+00,-1.899606580013595192e+02
-3.500000000000000000e+00,-2.045669386073036833e+02
-3.750000000000000000e+00,-2.191716082646963173e+02
-4.000000000000000000e+00,-2.337766845452948132e+02
-3.750000000000000000e+00,-2.191628847881948445e+02
-3.500000000000000000e+00,-2.045484061877797615e+02
-3.250000000000000000e+00,-1.899338380356460050e+02
-3.000000000000000000e+00,-1.753192055817185349e+02
-2.750000000000000000e+00,-1.607045334215692094e+02
-2.500000000000000000e+00,-1.460900859838199040e+02
-2.250000000000000000e+00,-1.314758477981005740e+02
-2.000000000000000000e+00,-1.168618889318969849e+02
-1.750000000000000000e+00,-1.022483282637462736e+02
-1.500000000000000000e+00,-8.763519581151774673e+01
-1.250000000000000000e+00,-7.302238511037919011e+01
-1.000000000000000000e+00,-5.841003811055814054e+01
-7.500000000000000000e-01,-4.379789849510081723e+01
-5.000000000000000000e-01,-2.918576878168799738e+01
