Displacement_mm,BaseShear_kN
0.000000000000000000e+00,-8.523945003691664815e-03
-2.500000000000000000e-01,-1.526491167205083066e+01
-5.000000000000000000e-01,-3.052107129536698693e+01
-7.500000000000000000e-01,-4.577683144180853958e+01
-1.000000000000000000e+00,-6.103221315154176096e+01
-1.250000000000000000e+00,-7.628718412774864532e+01
-1.500000000000000000e+00,-9.154199684076863264e+01
-1.750000000000000000e+00,-1.067961842623804785e+02
-2.000000000000000000e+00,-1.220510889874919371e+02
-1.750000000000000000e+00,-1.067941740070713763e+02
-1.500000000000000000e+00,-9.153738177781252716e+01
-1.250000000000000000e+00,-7.628072299998407857e+01
-1.000000000000000000e+00,-6.102421931912545716e+01
-7.500000000000000000e-01,-4.576784730977902882e+01
-5.000000000000000000e-01,-3.051156654247301248e+01
-2.500000000000000000e-01,-1.525530989316122010e+01
0.000000000000000000e+00,9.454946391894054631e-04
2.500000000000000000e-01,1.525715441145385043e+01
5.000000000000000000e-01,3.051319594811507940e+01
7.500000000000000000e-01,4.576906795455886368e+01
1.000000000000000000e+00,6.102467288116498878e+01
1.250000000000000000e+00,7.627968445746149939e+01
1.500000000000000000e+00,9.153454913068318888e+01
1.750000000000000000e+00,1.067891815192190137e+02
2.000000000000000000e+00,1.220442814209992406e+02
2.250000000000000000e+00,1.371648068871335511e+02
2.500000000000000000e+00,1.522812624297296793e+02
2.750000000000000000e+00,1.673927444159354820e+02
3.000000000000000000e+00,1.824985208305890865e+02
3.250000000000000000e+00,1.975985569042717884e+02
3.500000000000000000e+00,2.126941399921360301e+02
3.750000000000000000e+00,2.277845781712078406e+02
4.000000000000000000e+00,2.428695610234088633e+02
3.750000000000000000e+00,2.276126504936583785e+02
3.500000000000000000e+00,2.123558222520031791e+02
3.250000000000000000e+00,1.970990934612288754e+02
3.000000000000000000e+00,1.818424823056764126e+02
2.750000000000000000e+00,1.665860209943084840e+02
2.500000000000000000e+00,1.513296770236644875e+02
2.250000000000000000e+00,1.360734746744204244e+02
2.000000000000000000e+00,1.208175119859150044e+02
1.750000000000000000e+00,1.055616325709176664e+02
1.500000000000000000e+00,9.030621107270897596e+01
1.250000000000000000e+00,7.505104015117402128e+01
1.000000000000000000e+00,5.979616697535757908e+01
7.500000000000000000e-01,4.454109198166580086e+01
5.000000000000000000e-01,2.928627996968883451e+01
2.500000000000000000e-01,1.403128563925561778e+01
0.000000000000000000e+00,-1.223783590413254352e+00
-2.500000000000000000e-01,-1.647892886438953752e+01
-5.000000000000000000e-01,-3.173306308123055075e+01
-7.500000000000000000e-01,-4.698513726897817122e+01
-1.000000000000000000e+00,-6.223568862858159179e+01
-1.250000000000000000e+00,-7.748411084343764799e+01
-1.500000000000000000e+00,-9.273397917351444164e+01
-1.750000000000000000e+00,-1.079829002297684326e+02
-2.000000000000000000e+00,-1.232272503804016992e+02
-2.250000000000000000e+00,-1.383427143238894814e+02
-2.500000000000000000e+00,-1.534579013521533568e+02
-2.750000000000000000e+00,-1.685663898208321996e+02
-3.000000000000000000e+00,-1.836689165978555707e+02
