Displacement_mm,BaseShear_kN
1.299999999999999822e+00,8.114194245308090103e+01
1.199999999999999734e+00,7.489945471267314758e+01
1.099999999999999645e+00,6.865698766135970743e+01
9.999999999999996669e-01,6.241453526471370594e+01
8.999999999999996891e-01,5.617210904029325036e+01
7.999999999999997113e-01,4.992969219046970863e+01
6.999999999999997335e-01,4.368727794445040757e+01
5.999999999999997558e-01,3.744488801082761142e+01
4.999999999999997780e-01,3.120249764099300904e+01
3.999999999999998002e-01,2.496013173677209096e+01
2.999999999999998224e-01,1.871776244868518546e+01
1.999999999999998168e-01,1.247538555843464714e+01
9.999999999999981126e-02,6.233002338746034710e+00
-1.942890293094023946e-16,-9.361339303064368511e-03
-1.000000000000001998e-01,-6.251709453678723882e+00
-2.000000000000002054e-01,-1.249409967407672184e+01
-3.000000000000002109e-01,-1.873641861214353099e+01
-4.000000000000002442e-01,-2.497876126376981532e+01
-5.000000000000002220e-01,-3.122096976396693790e+01
-6.000000000000001998e-01,-3.746311787147147498e+01
-7.000000000000001776e-01,-4.370513962034860356e+01
-8.000000000000001554e-01,-4.994721472054686728e+01
-9.000000000000001332e-01,-5.618908481614251116e+01
-1.000000000000000222e+00,-6.243101853915484867e+01
-1.100000000000000311e+00,-6.867295849444580824e+01
-1.200000000000000400e+00,-7.491425621216255593e+01
-1.300000000000000488e+00,-8.115594080709711022e+01
-1.400000000000000577e+00,-8.739786831013248047e+01
-1.500000000000000666e+00,-9.363934956707343815e+01
-1.600000000000000755e+00,-9.988081356536795852e+01
-1.700000000000000844e+00,-1.061226061550652133e+02
-1.800000000000000933e+00,-1.123642842372623534e+02
-1.900000000000001021e+00,-1.186060949073169297e+02
-2.000000000000000888e+00,-1.248474120681056974e+02
-1.900000000000000799e+00,-1.186047939141070628e+02
-1.800000000000000711e+00,-1.123621937705996601e+02
-1.700000000000000622e+00,-1.061196108824775735e+02
-1.600000000000000533e+00,-9.987704374389490170e+01
-1.500000000000000444e+00,-9.363450046011566030e+01
-1.400000000000000355e+00,-8.739198331517037843e+01
-1.300000000000000266e+00,-8.114948529476103545e+01
-1.200000000000000178e+00,-7.490701197880737539e+01
-1.100000000000000089e+00,-6.866457133356887255e+01
-1.000000000000000000e+00,-6.242214874257811630e+01
-9.000000000000000222e-01,-5.617975849396218990e+01
-8.000000000000000444e-01,-4.993738275218490941e+01
-7.000000000000000666e-01,-4.369502408900935819e+01
-6.000000000000000888e-01,-3.745269465192782121e+01
-5.000000000000001110e-01,-3.121037280933844826e+01
-4.000000000000001332e-01,-2.496805286018197378e+01
-3.000000000000001554e-01,-1.872571810194265041e+01
-2.000000000000001499e-01,-1.248339191344535948e+01
