Displacement_mm,BaseShear_kN
2.000000000000000000e+00,1.696577188927246596e+02
1.750000000000000000e+00,1.484485124778023533e+02
1.500000000000000000e+00,1.272394718006768954e+02
1.250000000000000000e+00,1.060305892707536231e+02
1.000000000000000000e+00,8.482190475053911882e+01
7.500000000000000000e-01,6.361344431550885048e+01
5.000000000000000000e-01,4.240509145765455656e+01
2.500000000000000000e-01,2.119686374333525691e+01
0.000000000000000000e+00,-1.138344470165566190e-02
-2.500000000000000000e-01,-2.121957216381951739e+01
-5.000000000000000000e-01,-4.242726475142391962e+01
-7.500000000000000000e-01,-6.363409176705015113e+01
-1.000000000000000000e+00,-8.484023342439755311e+01
-1.250000000000000000e+00,-1.060460703640586502e+02
-1.500000000000000000e+00,-1.272518599113004996e+02
-1.750000000000000000e+00,-1.484575955382111090e+02
-2.000000000000000000e+00,-1.696641208840557340e+02
-1.750000000000000000e+00,-1.484549030925908824e+02
-1.500000000000000000e+00,-1.272458580549790952e+02
-1.250000000000000000e+00,-1.060369746744525088e+02
-1.000000000000000000e+00,-8.482832258728076624e+01
-7.500000000000000000e-01,-6.361993272197445037e+01
-5.000000000000000000e-01,-4.241178579465523768e+01
-2.500000000000000000e-01,-2.120369352206698466e+01
0.000000000000000000e+00,4.439707459187956957e-03
2.500000000000000000e-01,2.121247260306017068e+01
5.000000000000000000e-01,4.242010292864828358e+01
7.500000000000000000e-01,6.362739362704821389e+01
1.000000000000000000e+00,8.483373086952731512e+01
1.250000000000000000e+00,1.060397067705376202e+02
1.500000000000000000e+00,1.272459743363915123e+02
1.750000000000000000e+00,1.484514042629091080e+02
2.000000000000000000e+00,1.696577191429504978e+02
2.250000000000000000e+00,1.907030033977635810e+02
2.500000000000000000e+00,2.117391537279522993e+02
2.750000000000000000e+00,2.327690164478427164e+02
3.000000000000000000e+00,2.537921846158930350e+02
3.250000000000000000e+00,2.748055854599317627e+02
3.500000000000000000e+00,2.958110458664713747e+02
3.750000000000000000e+00,3.168090977012128633e+02
4.000000000000000000e+00,3.377990941210111373e+02
3.750000000000000000e+00,3.165899169994174258e+02
3.500000000000000000e+00,2.953809173691195724e+02
3.250000000000000000e+00,2.741721020995783533e+02
3.000000000000000000e+00,2.529634819690091376e+02
2.750000000000000000e+00,2.317550005908390176e+02
