Displacement_mm,BaseShear_kN
-8.000000000000001554e-01,-5.662017863159115905e+01
-9.000000000000001332e-01,-6.369597320063840584e+01
-1.000000000000000222e+00,-7.077109918115259291e+01
-1.100000000000000311e+00,-7.784672351327962758e+01
-1.200000000000000400e+00,-8.492179993238616476e+01
-1.300000000000000488e+00,-9.199721142433240573e+01
-1.400000000000000577e+00,-9.907272316294776715e+01
-1.500000000000000666e+00,-1.061485454490560159e+02
-1.600000000000000755e+00,-1.132237748439030725e+02
-1.700000000000000844e+00,-1.202990885528845268e+02
-1.800000000000000933e+00,-1.273747127249142466e+02
-1.900000000000001021e+00,-1.344504668221588588e+02
-2.000000000000000888e+00,-1.415256276782261580e+02
-1.900000000000000799e+00,-1.344489224251560131e+02
-1.800000000000000711e+00,-1.273722384239919592e+02
-1.700000000000000622e+00,-1.202955717931267827e+02
-1.600000000000000533e+00,-1.132189282615984638e+02
-1.500000000000000444e+00,-1.061423188913896780e+02
-1.400000000000000355e+00,-9.906572825119511094e+01
-1.300000000000000266e+00,-9.198916344068209128e+01
-1.200000000000000178e+00,-8.491263130754961708e+01
-1.100000000000000089e+00,-7.783613917782261638e+01
-1.000000000000000000e+00,-7.075967722646129232e+01
-9.000000000000000222e-01,-6.368327278495348054e+01
-8.000000000000000444e-01,-5.660690427803665870e+01
-7.000000000000000666e-01,-4.953056562182521816e+01
-6.000000000000000888e-01,-4.245426054092722268e+01
-5.000000000000001110e-01,-3.537800971328803001e+01
-4.000000000000001332e-01,-2.830175967149445526e+01
-3.000000000000001554e-01,-2.122548097436862946e+01
-2.000000000000001499e-01,-1.414922298902912345e+01
-1.000000000000001443e-01,-7.072911377180688852e+00
-1.387778780781445676e-16,3.342057015738078216e-03
9.999999999999986677e-02,7.079581910592383842e+00
1.999999999999998723e-01,1.415583458110006099e+01
2.999999999999998779e-01,2.123200146885057293e+01
3.999999999999999112e-01,2.830810706406076704e+01
4.999999999999998890e-01,3.538421068700225902e+01
5.999999999999998668e-01,4.246026647990438363e+01
6.999999999999998446e-01,4.953616457152565289e+01
7.999999999999998224e-01,5.661195132773376315e+01
8.999999999999998002e-01,6.368766972398219650e+01
9.999999999999997780e-01,7.076327000949076762e+01
1.099999999999999867e+00,7.783890862091010376e+01
1.199999999999999956e+00,8.491424094154733382e+01
1.300000000000000044e+00,9.198951760858702187e+01
1.400000000000000133e+00,9.906515994190650076e+01
1.500000000000000222e+00,1.061410491463240504e+02
1.600000000000000311e+00,1.132162507010211954e+02
1.700000000000000400e+00,1.202917446707036078e+02
1.800000000000000488e+00,1.273670584328063882e+02
1.900000000000000577e+00,1.344425690874983843e+02
2.000000000000000444e+00,1.415177443384900471e+02
1.900000000000000355e+00,1.344410374513565785e+02
1.800000000000000266e+00,1.273643569271015679e+02
1.700000000000000178e+00,1.202876983430805637e+02
1.600000000000000089e+00,1.132110643799290131e+02
1.500000000000000000e+00,1.061344551625898873e+02
1.399999999999999911e+00,9.905786868577827420e+01
1.299999999999999822e+00,9.198130216436973683e+01
1.199999999999999734e+00,8.490476567488960313e+01
1.099999999999999645e+00,7.782826765763209664e+01
9.999999999999996669e-01,7.075179313469872966e+01
8.999999999999996891e-01,6.367534975234155326e+01
7.999999999999997113e-01,5.659893727172379130e+01
6.999999999999997335e-01,4.952256261280088978e+01
5.999999999999997558e-01,4.244618345505887902e+01
4.999999999999997780e-01,3.536983834999318077e+01
3.999999999999998002e-01,2.829347641289480819e+01
2.999999999999998224e-01,2.121716263341589226e+01
1.999999999999998168e-01,1.414085194361028996e+01
9.999999999999981126e-02,7.064513584856155326e+00
-1.942890293094023946e-16,-1.178911016730898979e-02
-1.000000000000001998e-01,-7.088117652488459264e+00
-2.000000000000002054e-01,-1.416447817800699127e+01
-3.000000000000002109e-01,-2.124070058494323021e+01
-4.000000000000002442e-01,-2.831684846525914168e+01
-5.000000000000002220e-01,-3.539286359766151691e+01
-6.000000000000001998e-01,-4.246869121342839293e+01
-7.000000000000001776e-01,-4.954438992671695985e+01
-8.000000000000001554e-01,-5.662011112083763464e+01
-9.000000000000001332e-01,-6.369590567350421395e+01
-1.000000000000000222e+00,-7.077103164636368149e+01
-1.100000000000000311e+00,-7.784665596232133566e+01
-1.200000000000000400e+00,-8.492173237199421010e+01
-1.300000000000000488e+00,-9.199714386260062327e+01
-1.400000000000000577e+00,-9.907265558128942473e+01
-1.500000000000000666e+00,-1.061484778561257372e+02
-1.600000000000000755e+00,-1.132237072569582779e+02
-1.700000000000000844e+00,-1.202990209309505616e+02
-1.800000000000000933e+00,-1.273746450945049702e+02
-1.900000000000001021e+00,-1.344503991720553131e+02
-2.000000000000000888e+00,-1.415256285504653704e+02
-1.900000000000000799e+00,-1.344489232996518240e+02
-1.800000000000000711e+00,-1.273722392984617642e+02
-1.700000000000000622e+00,-1.202955726676334223e+02
-1.600000000000000533e+00,-1.132189291361489580e+02
