Displacement_mm,BaseShear_kN
-4.750000000000000000e+00,-2.837945752769880414e+02
-5.000000000000000000e+00,-2.983653020772544551e+02
-5.250000000000000000e+00,-3.129275084612173714e+02
-5.500000000000000000e+00,-3.274724341895955035e+02
-5.750000000000000000e+00,-3.419966158003853138e+02
-6.000000000000000000e+00,-3.565060829974789840e+02
-6.250000000000000000e+00,-3.709969010511819079e+02
-6.500000000000000000e+00,-3.854630173035400844e+02
-6.750000000000000000e+00,-3.999062119018170165e+02
-7.000000000000000000e+00,-4.143309419258932849e+02
-7.250000000000000000e+00,-4.287314781515062236e+02
-7.500000000000000000e+00,-4.431103655225336411e+02
-7.750000000000000000e+00,-4.574699020606254862e+02
-8.000000000000000000e+00,-4.718065310839343169e+02
-7.750000000000000000e+00,-4.570289710841212241e+02
-7.500000000000000000e+00,-4.422518689266166803e+02
-7.250000000000000000e+00,-4.274752985794870028e+02
-7.000000000000000000e+00,-4.126992399744252111e+02
-6.750000000000000000e+00,-3.979236577149657137e+02
-6.500000000000000000e+00,-3.831486136703790635e+02
-6.250000000000000000e+00,-3.683739948680715770e+02
-6.000000000000000000e+00,-3.535999822843057814e+02
-5.750000000000000000e+00,-3.388263714739427428e+02
-5.500000000000000000e+00,-3.240531908027285226e+02
-5.250000000000000000e+00,-3.092805115275023695e+02
-5.000000000000000000e+00,-2.945085996728945474e+02
-4.750000000000000000e+00,-2.797378559450710327e+02
-4.500000000000000000e+00,-2.649680654422500652e+02
-4.250000000000000000e+00,-2.501991618845277401e+02
-4.000000000000000000e+00,-2.354311419409963548e+02
-3.750000000000000000e+00,-2.206642443563667939e+02
-3.500000000000000000e+00,-2.058996344575702722e+02
-3.250000000000000000e+00,-1.911373596102395993e+02
-3.000000000000000000e+00,-1.763772304868233221e+02
-2.750000000000000000e+00,-1.616188037667638753e+02
-2.500000000000000000e+00,-1.468654115134593781e+02
-2.250000000000000000e+00,-1.321133637417009652e+02
-2.000000000000000000e+00,-1.173656726034936497e+02
-1.750000000000000000e+00,-1.026224125774807874e+02
-1.500000000000000000e+00,-8.788460672002693741e+01
-1.250000000000000000e+00,-7.314703126583950166e+01
-1.000000000000000000e+00,-5.841217152977554861e+01
-7.500000000000000000e-01,-4.367760992067667303e+01
-5.000000000000000000e-01,-2.893896501187379044e+01
-2.500000000000000000e-01,-1.419750382741883676e+01
0.000000000000000000e+00,5.414338878072026962e-01
2.500000000000000000e-01,1.528196707042503810e+01
5.000000000000000000e-01,3.001462507931271517e+01
7.500000000000000000e-01,4.474646589218726689e+01
1.000000000000000000e+00,5.947173200988353869e+01
1.250000000000000000e+00,7.418946104054644763e+01
1.500000000000000000e+00,8.890755006346448397e+01
1.750000000000000000e+00,1.036274483712677892e+02
2.000000000000000000e+00,1.183543907150941124e+02
2.250000000000000000e+00,1.330738879635950980e+02
2.500000000000000000e+00,1.478015263985260219e+02
2.750000000000000000e+00,1.625363176719215517e+02
3.000000000000000000e+00,1.772674582257978955e+02
3.250000000000000000e+00,1.919960809691263819e+02
3.500000000000000000e+00,2.067319098144290308e+02
3.750000000000000000e+00,2.214735975482436459e+02
4.000000000000000000e+00,2.362179233821303512e+02
4.250000000000000000e+00,2.509598370914076213e+02
4.500000000000000000e+00,2.656974961353590174e+02
4.750000000000000000e+00,2.804377330115265750e+02
5.000000000000000000e+00,2.951808606894143168e+02
5.250000000000000000e+00,3.099228705634330936e+02
5.500000000000000000e+00,3.246665729745883482e+02
5.750000000000000000e+00,3.394054691165242730e+02
6.000000000000000000e+00,3.541471756780256328e+02
6.250000000000000000e+00,3.688864166029155172e+02
6.500000000000000000e+00,3.836243353755244243e+02
6.750000000000000000e+00,3.983612304608222985e+02
7.000000000000000000e+00,4.130990784577253976e+02
7.250000000000000000e+00,4.278348528144155125e+02
7.500000000000000000e+00,4.425731588657097291e+02
7.750000000000000000e+00,4.573093414614033918e+02
8.000000000000000000e+00,4.719520604759862863e+02
7.750000000000000000e+00,4.571722449322835473e+02
7.500000000000000000e+00,4.423928815693523688e+02
7.250000000000000000e+00,4.276140320975968052e+02
7.000000000000000000e+00,4.128357082683804151e+02
6.750000000000000000e+00,3.980578275424091999e+02
6.500000000000000000e+00,3.832805292412804761e+02
6.250000000000000000e+00,3.685039998114667696e+02
6.000000000000000000e+00,3.537285986380938994e+02
5.750000000000000000e+00,3.389536897258259955e+02
5.500000000000000000e+00,3.241793467945865359e+02
5.250000000000000000e+00,3.094053958218175922e+02
5.000000000000000000e+00,2.946322485579581212e+02
4.750000000000000000e+00,2.798603459697136486e+02
4.500000000000000000e+00,2.650898835508593834e+02
4.250000000000000000e+00,2.503210122088066214e+02
4.000000000000000000e+00,2.355532452197940927e+02
3.750000000000000000e+00,2.207873619105521641e+02
3.500000000000000000e+00,2.060236142224016760e+02
3.250000000000000000e+00,1.912628911100518394e+02
3.000000000000000000e+00,1.765042217701675327e+02
2.750000000000000000e+00,1.617490842382910046e+02
2.500000000000000000e+00,1.469980244059445056e+02
2.250000000000000000e+00,1.322495708705193636e+02
2.000000000000000000e+00,1.175038417348278585e+02
1.750000000000000000e+00,1.027641542066138669e+02
1.500000000000000000e+00,8.802569500461956409e+01
1.250000000000000000e+00,7.329060339840799543e+01
1.000000000000000000e+00,5.855282193907367372e+01
7.500000000000000000e-01,4.381602929111768674e+01
5.000000000000000000e-01,2.908001085748923131e+01
2.500000000000000000e-01,1.434019776514288402e+01
0.000000000000000000e+00,-3.992896193476848099e-01
-2.500000000000000000e-01,-1.513686709489898519e+01
-5.000000000000000000e-01,-2.986811131696008914e+01
-7.500000000000000000e-01,-4.459105475331265467e+01
-1.000000000000000000e+00,-5.930896965346081373e+01
-1.250000000000000000e+00,-7.401740936379377445e+01
-1.500000000000000000e+00,-8.873427494269880356e+01
-1.750000000000000000e+00,-1.034481521610410368e+02
-2.000000000000000000e+00,-1.181728196679916891e+02
-2.250000000000000000e+00,-1.328957338881518524e+02
-2.500000000000000000e+00,-1.476238474456577876e+02
-2.750000000000000000e+00,-1.623576507806077700e+02
-3.000000000000000000e+00,-1.770893872005828200e+02
-3.250000000000000000e+00,-1.918231447217647485e+02
-3.500000000000000000e+00,-2.065564903759862148e+02
-3.750000000000000000e+00,-2.212973787316364280e+02
-4.000000000000000000e+00,-2.360394387896585897e+02
-4.250000000000000000e+00,-2.507787571586637796e+02
-4.500000000000000000e+00,-2.655206633172043666e+02
-4.750000000000000000e+00,-2.802612801582587281e+02
-5.000000000000000000e+00,-2.950017885100602939e+02
-5.250000000000000000e+00,-3.097468389130880269e+02
-5.500000000000000000e+00,-3.244895982188951393e+02
-5.750000000000000000e+00,-3.392267583264368227e+02
-6.000000000000000000e+00,-3.539649053098453919e+02
-6.250000000000000000e+00,-3.687026485834954315e+02
-6.500000000000000000e+00,-3.834374736634595138e+02
-6.750000000000000000e+00,-3.981700938341957681e+02
-7.000000000000000000e+00,-4.129033268814501412e+02
-7.250000000000000000e+00,-4.276341143924676658e+02
-7.500000000000000000e+00,-4.423673418324351587e+02
-7.750000000000000000e+00,-4.571005973385753691e+02
-8.000000000000000000e+00,-4.718332535799314655e+02
-7.750000000000000000e+00,-4.570557192625729499e+02
-7.500000000000000000e+00,-4.422786530224716444e+02
-7.250000000000000000e+00,-4.275021143864028090e+02
-7.000000000000000000e+00,-4.127260910679461858e+02
-6.750000000000000000e+00,-3.979505457689522245e+02
-6.500000000000000000e+00,-3.831755471963667787e+02
-6.250000000000000000e+00,-3.684009741311188009e+02
-6.000000000000000000e+00,-3.536270203558490834e+02
-5.750000000000000000e+00,-3.388534745003627791e+02
-5.500000000000000000e+00,-3.240803621871274913e+02
-5.250000000000000000e+00,-3.093077588730230332e+02
-5.000000000000000000e+00,-2.945359410165723375e+02
-4.750000000000000000e+00,-2.797653156088270521e+02
-4.500000000000000000e+00,-2.649956623049321820e+02
-4.250000000000000000e+00,-2.502269241361532579e+02
-4.000000000000000000e+00,-2.354590890181088980e+02
-3.750000000000000000e+00,-2.206924048951497639e+02
-3.500000000000000000e+00,-2.059280717209043985e+02
-3.250000000000000000e+00,-1.911661515852271407e+02
-3.000000000000000000e+00,-1.764064580226018961e+02
-2.750000000000000000e+00,-1.616485225625911255e+02
-2.500000000000000000e+00,-1.468957498062161164e+02
-2.250000000000000000e+00,-1.321444839767028441e+02
-2.000000000000000000e+00,-1.173976712136842337e+02
-1.750000000000000000e+00,-1.026554932673963094e+02
-1.500000000000000000e+00,-8.791897109851441883e+01
-1.250000000000000000e+00,-7.318281995213128255e+01
-1.000000000000000000e+00,-5.844944022341310585e+01
-7.500000000000000000e-01,-4.371643817853327363e+01
-5.000000000000000000e-01,-2.897940990221656321e+01
-2.500000000000000000e-01,-1.423957615309269364e+01
0.000000000000000000e+00,4.977285986051806499e-01
2.500000000000000000e-01,1.523663421416182473e+01
