Displacement_mm,BaseShear_kN,Drift_pct,Stiffness_kNmm,,Displacement_mm,BaseShear_kN,Drift_pct,Stiffness_kNmm,,Displacement_mm,BaseShear_kN,Drift_pct,Stiffness_kNmm
2.01E+01,1.10E+03,1.15E-01,5.49E+01,,2.00E+01,1.16E+03,1.14E-01,5.80E+01,,2.00E+01,1.29E+03,1.14E-01,6.48E+01
-1.99E+01,-1.10E+03,-1.14E-01,5.50E+01,,-2.00E+01,-1.16E+03,-1.15E-01,5.79E+01,,-2.00E+01,-1.30E+03,-1.15E-01,6.47E+01
3.03E+01,1.49E+03,1.73E-01,4.91E+01,,2.98E+01,1.55E+03,1.70E-01,5.19E+01,,2.98E+01,1.73E+03,1.70E-01,5.79E+01
-2.97E+01,-1.47E+03,-1.69E-01,4.95E+01,,-3.02E+01,-1.56E+03,-1.72E-01,5.18E+01,,-3.02E+01,-1.74E+03,-1.72E-01,5.77E+01
3.03E+01,1.49E+03,1.73E-01,4.90E+01,,2.98E+01,1.55E+03,1.70E-01,5.19E+01,,2.98E+01,1.73E+03,1.70E-01,5.79E+01
-2.97E+01,-1.47E+03,-1.69E-01,4.94E+01,,-3.02E+01,-1.56E+03,-1.72E-01,5.17E+01,,-3.02E+01,-1.74E+03,-1.72E-01,5.77E+01
3.03E+01,1.49E+03,1.73E-01,4.90E+01,,2.98E+01,1.55E+03,1.70E-01,5.19E+01,,2.98E+01,1.73E+03,1.70E-01,5.78E+01
-2.97E+01,-1.47E+03,-1.69E-01,4.94E+01,,-3.02E+01,-1.56E+03,-1.72E-01,5.17E+01,,-3.02E+01,-1.74E+03,-1.72E-01,5.77E+01
4.03E+01,1.79E+03,2.31E-01,4.45E+01,,3.98E+01,1.87E+03,2.28E-01,4.68E+01,,3.98E+01,2.07E+03,2.28E-01,5.20E+01
-3.97E+01,-1.78E+03,-2.27E-01,4.48E+01,,-4.02E+01,-1.88E+03,-2.30E-01,4.67E+01,,-4.02E+01,-2.08E+03,-2.30E-01,5.18E+01
4.03E+01,1.79E+03,2.31E-01,4.43E+01,,3.98E+01,1.86E+03,2.28E-01,4.67E+01,,3.98E+01,2.06E+03,2.28E-01,5.17E+01
-3.97E+01,-1.77E+03,-2.27E-01,4.47E+01,,-4.02E+01,-1.87E+03,-2.30E-01,4.66E+01,,-4.02E+01,-2.08E+03,-2.30E-01,5.17E+01
4.03E+01,1.79E+03,2.31E-01,4.43E+01,,3.98E+01,1.86E+03,2.28E-01,4.66E+01,,3.98E+01,2.06E+03,2.28E-01,5.17E+01
-3.97E+01,-1.77E+03,-2.27E-01,4.46E+01,,-4.02E+01,-1.87E+03,-2.30E-01,4.65E+01,,-4.02E+01,-2.07E+03,-2.30E-01,5.16E+01
5.03E+01,2.05E+03,2.88E-01,4.08E+01,,4.98E+01,2.13E+03,2.85E-01,4.27E+01,,4.98E+01,2.34E+03,2.85E-01,4.70E+01
-4.97E+01,-2.04E+03,-2.84E-01,4.11E+01,,-5.02E+01,-2.14E+03,-2.87E-01,4.26E+01,,-5.02E+01,-2.35E+03,-2.87E-01,4.68E+01
5.03E+01,2.04E+03,2.88E-01,4.05E+01,,4.98E+01,2.11E+03,2.85E-01,4.24E+01,,4.98E+01,2.32E+03,2.85E-01,4.66E+01
-4.97E+01,-2.03E+03,-2.84E-01,4.08E+01,,-5.02E+01,-2.13E+03,-2.87E-01,4.24E+01,,-5.02E+01,-2.34E+03,-2.87E-01,4.66E+01
5.03E+01,2.04E+03,2.88E-01,4.05E+01,,4.98E+01,2.11E+03,2.85E-01,4.23E+01,,4.98E+01,2.32E+03,2.85E-01,4.65E+01
-4.97E+01,-2.02E+03,-2.84E-01,4.08E+01,,-5.02E+01,-2.12E+03,-2.87E-01,4.23E+01,,-5.02E+01,-2.33E+03,-2.87E-01,4.65E+01
5.98E+01,2.26E+03,3.42E-01,3.78E+01,,6.01E+01,2.35E+03,3.43E-01,3.91E+01,,6.01E+01,2.55E+03,3.43E-01,4.25E+01
-6.02E+01,-2.27E+03,-3.44E-01,3.78E+01,,-5.99E+01,-2.35E+03,-3.42E-01,3.92E+01,,-5.99E+01,-2.55E+03,-3.42E-01,4.26E+01
5.98E+01,2.25E+03,3.42E-01,3.75E+01,,6.01E+01,2.33E+03,3.43E-01,3.88E+01,,6.01E+01,2.52E+03,3.43E-01,4.20E+01
-6.02E+01,-2.26E+03,-3.44E-01,3.76E+01,,-5.99E+01,-2.33E+03,-3.42E-01,3.89E+01,,-5.99E+01,-2.53E+03,-3.42E-01,4.22E+01
5.98E+01,2.24E+03,3.42E-01,3.75E+01,,6.01E+01,2.32E+03,3.43E-01,3.87E+01,,6.01E+01,2.51E+03,3.43E-01,4.18E+01
-6.02E+01,-2.26E+03,-3.44E-01,3.75E+01,,-5.99E+01,-2.33E+03,-3.42E-01,3.88E+01,,-5.99E+01,-2.52E+03,-3.42E-01,4.20E+01
6.93E+01,2.44E+03,3.96E-01,3.52E+01,,6.96E+01,2.51E+03,3.98E-01,3.61E+01,,6.96E+01,2.70E+03,3.98E-01,3.88E+01
-7.07E+01,-2.47E+03,-4.04E-01,3.49E+01,,-7.04E+01,-2.53E+03,-4.02E-01,3.60E+01,,-7.04E+01,-2.72E+03,-4.02E-01,3.86E+01
6.93E+01,2.42E+03,3.96E-01,3.48E+01,,6.96E+01,2.49E+03,3.98E-01,3.58E+01,,6.96E+01,2.65E+03,3.98E-01,3.81E+01
-7.07E+01,-2.44E+03,-4.04E-01,3.46E+01,,-7.04E+01,-2.51E+03,-4.02E-01,3.57E+01,,-7.04E+01,-2.67E+03,-4.02E-01,3.80E+01
6.93E+01,2.41E+03,3.96E-01,3.47E+01,,6.96E+01,2.48E+03,3.98E-01,3.56E+01,,6.96E+01,2.64E+03,3.98E-01,3.79E+01
-7.07E+01,-2.44E+03,-4.04E-01,3.45E+01,,-7.04E+01,-2.50E+03,-4.02E-01,3.55E+01,,-7.04E+01,-2.66E+03,-4.02E-01,3.77E+01
7.93E+01,2.58E+03,4.53E-01,3.25E+01,,7.96E+01,2.65E+03,4.55E-01,3.34E+01,,7.96E+01,2.78E+03,4.55E-01,3.50E+01
-8.07E+01,-2.60E+03,-4.61E-01,3.23E+01,,-8.04E+01,-2.67E+03,-4.60E-01,3.32E+01,,-8.04E+01,-2.80E+03,-4.60E-01,3.48E+01
7.93E+01,2.55E+03,4.53E-01,3.21E+01,,7.96E+01,2.62E+03,4.55E-01,3.29E+01,,7.96E+01,2.72E+03,4.55E-01,3.42E+01
-8.07E+01,-2.58E+03,-4.61E-01,3.19E+01,,-8.04E+01,-2.64E+03,-4.60E-01,3.28E+01,,-8.04E+01,-2.74E+03,-4.60E-01,3.41E+01
7.93E+01,2.54E+03,4.53E-01,3.20E+01,,7.96E+01,2.60E+03,4.55E-01,3.27E+01,,7.96E+01,2.70E+03,4.55E-01,3.39E+01
-8.07E+01,-2.57E+03,-4.61E-01,3.18E+01,,-8.04E+01,-2.62E+03,-4.60E-01,3.26E+01,,-8.04E+01,-2.72E+03,-4.60E-01,3.38E+01
9.03E+01,2.70E+03,5.16E-01,2.98E+01,,8.95E+01,2.73E+03,5.11E-01,3.06E+01,,8.95E+01,2.82E+03,5.11E-01,3.15E+01
-8.97E+01,-2.69E+03,-5.12E-01,3.00E+01,,-9.05E+01,-2.75E+03,-5.17E-01,3.04E+01,,-9.05E+01,-2.84E+03,-5.17E-01,3.13E+01
9.03E+01,2.65E+03,5.16E-01,2.94E+01,,8.95E+01,2.68E+03,5.11E-01,3.00E+01,,8.95E+01,2.76E+03,5.11E-01,3.08E+01
-8.97E+01,-2.66E+03,-5.12E-01,2.97E+01,,-9.05E+01,-2.71E+03,-5.17E-01,2.99E+01,,-9.05E+01,-2.78E+03,-5.17E-01,3.07E+01
9.03E+01,2.64E+03,5.16E-01,2.92E+01,,8.95E+01,2.67E+03,5.11E-01,2.98E+01,,8.95E+01,2.74E+03,5.11E-01,3.06E+01
-8.97E+01,-2.65E+03,-5.12E-01,2.95E+01,,-9.05E+01,-2.69E+03,-5.17E-01,2.97E+01,,-9.05E+01,-2.77E+03,-5.17E-01,3.06E+01
1.00E+02,2.75E+03,5.73E-01,2.74E+01,,9.95E+01,2.77E+03,5.68E-01,2.79E+01,,9.95E+01,2.84E+03,5.68E-01,2.85E+01
-9.97E+01,-2.76E+03,-5.69E-01,2.77E+01,,-1.01E+02,-2.79E+03,-5.75E-01,2.77E+01,,-1.01E+02,-2.86E+03,-5.75E-01,2.84E+01
1.00E+02,2.70E+03,5.73E-01,2.69E+01,,9.95E+01,2.72E+03,5.68E-01,2.73E+01,,9.95E+01,2.79E+03,5.68E-01,2.80E+01
-9.97E+01,-2.72E+03,-5.69E-01,2.73E+01,,-1.01E+02,-2.74E+03,-5.75E-01,2.73E+01,,-1.01E+02,-2.81E+03,-5.75E-01,2.80E+01
1.00E+02,2.69E+03,5.73E-01,2.68E+01,,9.95E+01,2.70E+03,5.68E-01,2.72E+01,,9.95E+01,2.78E+03,5.68E-01,2.79E+01
-9.97E+01,-2.70E+03,-5.69E-01,2.71E+01,,-1.01E+02,-2.73E+03,-5.75E-01,2.71E+01,,-1.01E+02,-2.81E+03,-5.75E-01,2.79E+01
